"1","Соломка солона Chio-Wolf Stick з смаком паприки 80г","7","19"
"2","Соломка солона Chio-Wolf Stickletti смажена картопля 85г","7","19"
"3","Соломка солона Chio-Wolf Stickletti 125г","8","39"
"4","Соломка Chio-Wolf Stickletti 250г","13","79"
"5","Соломка солона Chio-Wolf Stickletti з сиром 85г","7","19"
"6","Лаваш закусочний кг","78","99"
"7","Лаваш з лососем с/с кг","82","99"
"8","Тортилья з сиром Делікадос 400г","59","99"
"9","Тортилья оригінальна Делікадос 400г","54","49"
"10","Лаваш Вірменський Київхліб 220г","6","89"
"11","Лаваш Персидський Київхліб 230г","6","89"
"12","Лаваш порційний Круїз 275г","8","79"
"13","Лаваш Вірменський Круїз 330г","8","99"
"14","Трубочка вафельна ПанКрошка 40г","3","29"
"15","Коржі для торту Мерсі Медовик 500г","19","79"
"16","Коржи для торта Мерси Наполеон 400г Украина","19","89"
"17","Ракушка вафельна ПанКрошка 20г","3","89"
"18","Горішок вафельний ПанКрошка 45г","6","59"
"19","Коржі Тортилья Santa Maria 336г","69","49"
"20","Кукурудзяні кишеньки Taco Shells Santa Maria 135г","57","99"
"21","Хліб Лаваш Дуос А.Л.М.А.С.220г","5","89"
"22","Кекс Сирковий кг.","54","99"
"23","Кекс Столичний кг.","59","99"
"24","Мафіни кг","39","99"
