"1","Батон Новус Домашний 500г Украина","4","99"
"2","Батон Киевхлеб Киевский нарезной (целый) 500г Украина","5","52"
"3","Батон Киевхлеб Киевский Нарезной нарезка 500г Украина","5","65"
"4","Батон Киевхлеб Киевский нарезка 250г Украина","3","10"
"5","Батон Кулиничи нарезной обычный нарезка 500г в упаковке","5","65"
"6","Батон бутербродний Рум'янець уп.350г","6","19"
"7","Батон ТАК Отрубной низкокалорийный 240г Украина","5","99"
"8","Батон Царь Хлеб Нива нарезка половинка 250г Украина","3","10"
"9","Батон Царь Хлеб Нива нарезка 500г Украина","5","65"
"10","Батон Нива Цар-Хліб в/с пс. без упаковики 500г","5","17"
"11","Багет Новус солодовый бездрожжевой на закваске 300г Украина","3","99"
"12","Багет Новус Французский 300г Украина","3","99"
"13","Багет Новус бездрожжевой на сухой закваске 300г","3","99"
"14","Багет з часниковою начинкою 200гр.","7","99"
"15","Булочка Новус Чиабатта темная 80г Украина","2","49"
"16","Хлеб Новус Чиабатта Украина","24","99"
"17","Булочка Новус Чиабатта светлая 80г Украина","2","49"
"18","Хлеб Новус Тостовый пшеничный нарезанный Украина","19","99"
"19","Хлебец Новус сырно-луковый 250г Украина","5","99"
"20","Хлеб Новус Брие 400г Украина","4","99"
"21","Хлеб КиевХлеб Традиционный пшеничный 650г Украина","5","31"
"22","Хлеб тостовый Кулиничи Европейский белый 330г Украина","5","72"
"23","Хлеб Кулиничи Пшеничный нарезка высший сорт 650г Украина","5","45"
"24","Хлеб Румянец пшеничный нарезка 700г Украина","6","48"
"25","Хлеб Хлибио Пшеничный органический 380г Украина","20","69"
"26","Хлеб Царь Хлеб Родынный нарезка 600г Украина","5","45"
"27","Хлеб Новус Карельский 600г Украина","8","99"
"28","Хлеб Новус Литовский Украина","14","99"
"29","Хлеб Новус Горишок Украина","59","99"
"30","Хлеб Новус Перчинка Украина","24","99"
"31","Хлеб Киевхлеб Белорусский подовый половинка 350г Украина","4","55"
"32","Хлеб Киевхлеб Украинский Столичный нарезка 950г Украина","6","96"
"33","Хлеб Белорусский Киевхлеб половина нарезанная ломтиками 350г Украина","4","76"
"34","Хлеб Киевхлеб Украинский Столичный половинка 475г Украина","3","72"
"35","Хлеб Кулиничи Белая Русь нарезанный половинка 350г Украина","4","76"
"36","Хлеб Бородинский Румянец с семенами подсолнечника порезанный 500г Украина","9","17"
"37","Хлеб Хлибио цельнозерновой ржаной органический 300г Украина","13","79"
"38","Хлеб Хлибио Ржаной органический 400г Украина","16","19"
"39","Хлеб Царь Хлеб Украинский новый половинка нарезка 450г Украина","3","72"
"40","Хлеб Царь Хлеб Житне Дыво 400г Украина","7","52"
"41","Хлеб Новус отрубной 650г Украина","6","99"
"42","Хлеб тостовый Кулиничи Европейский отрубной 350г Украина","5","93"
"43","Хлеб Новус Гречишный 400г Украина","5","49"
"44","Хлебец Новус Кукурузный 300г Украина","6","99"
"45","Хлеб Новус Грeхемский 500г Украина","9","99"
"46","Хлеб Новус Литовский с семечками подсолнечника 500г Украина","9","99"
"47","Хлеб Новус Бородино 400г Украина","5","49"
"48","Хлеб Киевхлеб Прибалтийский светлый заварной ржано пшеничный 650г Украина","9","03"
"49","Хлеб Киевхлеб Прибалтийский темный ржано-пшеничный 800г Украина","10","48"
"50","Хлеб Киевхлеб Белорусский ржаной нарезка 700г Украина","8","07"
"1","Хлеб Кулиничи Пушкаревский формовой ржано-пшеничный нарезка 600г Украина","6","55"
"2","Хлеб Румянец Луцкий с кунжутом ржано-пшеничный нарезка 700г Украина","8","07"
"3","Хлеб Ворзельский Юниверсал нарезка 300г Украина","7","45"
"4","Хлеб Новус Мультизерновой Украина","24","99"
"5","Хлеб Новус Цельнозерновой 650г Украина","14","99"
"6","Хлеб Новус Домашний на сыворотке 800г","6","99"
"7","Хлеб Новус Карельский половинка 300г","3","99"
"8","Хлеб Новус Вулкан половинка 300г","3","49"
"9","Хлеб Новус Вулкан 600г","6","99"
"10","Хлеб Новус Домашний на сыворотке половинка 400г","3","49"
"11","Хлеб Новус Грэхемской половинка 250г","4","99"
"12","Хлеб Новус Отрубной половинка","3","49"
"13","Хлеб Кулиничи Украинский новый половинка нарезка 475г Украина","3","72"
"14","Хлеб Румянец нарезка 700г Украина","8","00"
"15","Хлеб Румянец Альпийский половинка 360г Украина","4","76"
"16","Хлеб Царь Хлеб Юрьевский заварной половинка нарезка 400г Украина","4","62"
"17","Хлеб Царь Хлеб Щедрый 500г Украина","13","80"
"18","Хлеб Царь Хлеб Здоровье 400г Украина","5","65"
"19","Хліб Цар Хліб Український нарізний в упаковці 0,95кг","6","90"
"20","Хлеб Царь Хлеб Горчичный 500г Украина","7","10"
"21","Хлеб Царь Хлеб Украинский новый нарезка 900г Украина","6","90"
"22","Хлеб Царь Хлеб Семейный 600г Украина","4","89"
"23","Хліб Бокато 600г","9","99"
"24","Хліб Тоскано 1/2 (половинка) 300г","4","99"
"25","Хліб Бокато 1/2 (половинка) 300г","4","99"
"26","Хліб Тоскано 600г","9","99"
